Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9,Trial 10,Trial 11,Trial 12,Average
 Prey Angle: 360, Prey Angle: 360, Prey Angle: 360, Prey Angle: 360, Prey Angle: 360, Prey Angle: 360, Prey Angle: 360, Prey Angle: 360, Prey Angle: 360, Prey Angle: 360, Prey Angle: 360, Prey Angle: 360
3,2,3,7,3,4,4,2,4,4,4,3,3.5833333333333335
2,4,4,4,5,4,2,3,7,6,3,4,4
7,7,3,4,7,4,5,2,5,3,5,0,4.333333333333333
4,8,4,3,6,8,0,4,3,4,5,6,4.583333333333333
4,4,7,4,9,6,2,2,6,4,1,3,4.333333333333333
5,3,13,5,5,8,1,6,4,4,4,3,5.083333333333333
0,5,8,5,1,8,2,3,2,3,4,6,3.9166666666666665
3,3,7,5,5,6,4,4,6,3,8,7,5.083333333333333
4,5,5,6,4,5,4,3,6,1,4,5,4.333333333333333
4,4,8,5,3,4,2,4,2,3,6,4,4.083333333333333
10,2,10,5,1,10,2,3,1,0,2,4,4.166666666666667
5,3,9,2,4,7,1,3,1,0,5,3,3.5833333333333335
4,5,8,4,5,5,3,1,1,3,8,5,4.333333333333333
6,4,6,4,10,13,3,2,2,2,3,4,4.916666666666667
6,7,6,5,4,10,3,5,2,0,5,5,4.833333333333333
8,7,3,4,0,3,2,4,0,1,4,3,3.25
5,3,3,4,4,9,1,5,5,3,6,3,4.25
5,7,5,3,2,5,3,5,0,2,4,3,3.6666666666666665
9,3,7,4,3,3,3,4,3,2,7,7,4.583333333333333
6,5,4,5,4,6,4,2,2,1,9,6,4.5
8,5,2,6,9,6,5,6,2,2,5,6,5.166666666666667
7,2,3,8,6,4,4,2,2,1,6,8,4.416666666666667
11,2,6,2,5,1,1,1,3,2,7,8,4.083333333333333
5,2,2,4,8,4,2,2,5,3,4,9,4.166666666666667
12,3,5,4,4,2,7,1,2,3,8,9,5
8,6,4,2,10,1,3,1,0,2,4,9,4.166666666666667
5,1,6,2,6,2,4,4,1,3,7,11,4.333333333333333
8,1,5,1,6,2,1,2,3,1,4,9,3.5833333333333335
13,1,1,4,2,5,2,5,2,1,5,7,4
6,2,8,3,6,0,3,4,1,4,6,9,4.333333333333333
7,2,7,9,5,6,4,4,2,3,3,12,5.333333333333333
3,3,3,7,5,2,2,9,4,4,3,6,4.25
