Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9,Trial 10,Trial 11,Trial 12,Average
 Prey Angle: 60, Prey Angle: 60, Prey Angle: 60, Prey Angle: 60, Prey Angle: 60, Prey Angle: 60, Prey Angle: 60, Prey Angle: 60, Prey Angle: 60, Prey Angle: 60, Prey Angle: 60, Prey Angle: 180
7,4,3,2,6,3,2,3,7,4,3,3,3.9166666666666665
6,5,3,4,1,3,5,2,2,7,4,3,3.75
7,4,3,5,2,0,1,6,5,7,3,5,4
3,5,1,8,4,2,2,8,3,3,1,3,3.5833333333333335
2,12,2,4,5,5,6,3,3,4,2,5,4.416666666666667
3,1,4,2,3,3,5,4,4,4,5,1,3.25
3,7,5,5,4,2,6,5,2,4,1,1,3.75
4,7,4,1,7,2,6,5,5,3,6,1,4.25
2,3,5,4,9,5,6,6,6,2,1,1,4.166666666666667
4,0,4,4,7,4,8,9,3,4,2,2,4.25
2,4,7,2,10,6,12,9,1,4,2,4,5.25
3,3,9,2,9,7,9,11,6,4,6,3,6
3,4,5,6,8,4,4,10,3,4,5,1,4.75
3,4,11,1,8,5,11,8,2,4,1,2,5
7,3,9,2,12,4,13,12,3,1,4,3,6.083333333333333
2,7,11,5,7,7,12,9,1,3,4,1,5.75
6,5,7,4,6,9,9,15,4,2,3,1,5.916666666666667
4,5,3,2,9,10,14,9,5,2,2,1,5.5
8,9,7,4,13,11,11,13,4,7,2,0,7.416666666666667
6,4,4,3,5,9,12,20,8,7,1,1,6.666666666666667
4,6,12,5,9,8,13,19,6,2,1,2,7.25
9,5,10,3,8,8,12,14,7,3,4,0,6.916666666666667
7,11,7,4,7,10,18,23,4,3,2,0,8
9,8,6,1,11,7,9,16,3,3,0,2,6.25
10,4,14,2,13,10,10,15,6,7,0,3,7.833333333333333
14,6,6,1,6,7,8,19,4,1,2,1,6.25
8,4,14,1,4,7,6,16,5,6,0,2,6.083333333333333
10,7,6,3,9,13,11,14,8,8,4,1,7.833333333333333
13,10,6,6,6,10,11,18,8,7,5,2,8.5
5,12,4,2,10,10,12,22,10,9,3,2,8.416666666666666
13,10,8,4,9,10,8,14,8,7,3,2,8
20,12,8,5,7,12,5,15,7,5,2,1,8.25
12,13,4,3,9,11,7,25,8,5,3,4,8.666666666666666
6,13,10,1,11,4,9,26,7,7,5,3,8.5
7,10,7,5,13,6,13,22,9,1,1,1,7.916666666666667
5,10,12,0,11,9,10,18,7,1,4,4,7.583333333333333
8,10,2,5,15,8,12,26,8,4,10,0,9
8,10,7,5,11,11,4,19,8,3,8,1,7.916666666666667
6,7,8,4,12,9,8,23,7,4,8,2,8.166666666666666
8,12,6,0,16,7,11,22,9,4,10,1,8.833333333333334
7,12,13,3,11,6,10,22,7,3,10,1,8.75
6,14,13,1,9,6,5,22,4,3,7,2,7.666666666666667
10,17,7,0,12,6,10,22,9,3,12,0,9
10,12,9,3,13,3,7,23,6,7,6,0,8.25
8,11,6,8,7,7,7,21,7,5,7,2,8
11,16,10,9,7,11,7,23,8,1,11,2,9.666666666666666
6,16,8,1,15,9,4,18,7,1,6,0,7.583333333333333
9,13,7,4,15,12,5,24,8,5,8,1,9.25
10,14,7,4,13,10,7,26,6,5,9,0,9.25
11,16,11,1,15,10,9,23,7,7,4,0,9.5
9,13,8,6,7,9,11,22,10,4,10,0,9.083333333333334
10,16,13,4,15,7,13,22,7,8,7,1,10.25
13,15,8,4,15,7,5,19,8,3,8,0,8.75
4,6,6,4,12,7,7,20,13,6,7,1,7.75
5,8,7,2,13,13,9,17,12,1,11,0,8.166666666666666
7,9,7,8,9,11,8,27,7,3,7,0,8.583333333333334
10,11,4,7,12,11,6,20,6,4,7,0,8.166666666666666
10,18,6,4,13,7,13,25,5,5,4,1,9.25
14,21,8,4,10,9,3,25,8,2,8,1,9.416666666666666
16,21,11,7,8,12,7,21,5,2,2,1,9.416666666666666
14,19,7,7,9,10,7,23,6,5,7,0,9.5
9,22,9,10,11,9,8,16,4,5,9,2,9.5
12,22,7,3,11,9,8,21,8,5,5,3,9.5
10,17,14,4,14,7,10,21,7,5,6,2,9.75
12,20,10,7,12,10,9,20,4,6,7,1,9.833333333333334
15,15,10,12,12,7,7,24,6,3,5,0,9.666666666666666
15,18,7,6,9,9,6,24,10,3,6,2,9.583333333333334
16,26,9,7,11,11,9,24,3,5,7,1,10.75
15,14,10,4,16,8,6,20,5,7,5,2,9.333333333333334
12,22,5,5,16,9,9,22,3,4,8,1,9.666666666666666
16,18,10,9,10,10,8,20,1,10,6,1,9.916666666666666
9,18,3,7,16,7,6,22,4,3,13,3,9.25
10,15,8,7,13,7,4,20,7,4,5,1,8.416666666666666
7,17,7,6,16,11,9,24,9,5,9,2,10.166666666666666
10,20,6,14,13,10,9,22,9,2,4,2,10.083333333333334
13,16,8,6,16,17,11,27,15,9,2,2,11.833333333333334
8,13,8,6,15,7,1,20,9,13,9,2,9.25
17,20,11,8,15,8,9,25,14,6,10,1,12
9,26,8,9,19,14,9,23,12,9,5,1,12
8,23,10,5,14,13,8,26,10,14,10,2,11.916666666666666
17,17,10,7,11,9,10,25,8,11,6,0,10.916666666666666
13,22,9,2,14,14,10,19,14,9,6,0,11
13,19,11,9,11,9,11,22,11,9,6,1,11
13,21,7,11,14,10,4,19,14,10,10,1,11.166666666666666
19,20,10,4,12,16,11,23,11,7,8,0,11.75
24,17,11,4,15,10,6,23,13,5,5,2,11.25
19,17,13,10,14,18,9,28,11,7,10,1,13.083333333333334
21,16,14,3,14,12,12,24,9,11,13,2,12.583333333333334
23,16,9,9,12,13,10,21,13,5,8,1,11.666666666666666
26,13,10,8,16,16,7,23,13,8,6,1,12.25
15,23,5,9,13,11,10,17,10,7,7,1,10.666666666666666
17,22,10,9,16,9,6,23,13,11,15,3,12.833333333333334
20,23,7,9,12,13,9,23,12,11,8,0,12.25
20,16,10,6,12,16,9,29,12,13,8,2,12.75
17,19,10,7,11,10,9,33,10,10,14,1,12.583333333333334
19,15,5,6,10,10,9,26,11,10,9,1,10.916666666666666
19,16,10,4,15,13,10,27,8,5,8,1,11.333333333333334
16,14,7,6,12,14,7,28,13,12,9,2,11.666666666666666
20,20,8,9,13,13,10,24,14,7,9,4,12.583333333333334
19,11,6,4,12,14,5,24,13,10,9,1,10.666666666666666
19,12,10,9,14,15,6,20,15,8,8,1,11.416666666666666
16,13,10,7,12,14,8,21,14,5,6,0,10.5
16,19,4,9,16,15,7,30,15,11,11,0,12.75
15,16,7,5,15,18,9,21,15,5,7,1,11.166666666666666
15,20,8,6,10,15,10,23,16,6,9,1,11.583333333333334
17,10,3,9,16,16,11,22,10,15,7,2,11.5
17,17,4,6,9,15,9,28,14,8,7,2,11.333333333333334
18,14,5,12,14,16,5,20,17,7,7,2,11.416666666666666
16,23,3,13,16,16,10,25,13,7,20,1,13.583333333333334
18,20,8,7,10,15,11,26,13,11,10,5,12.833333333333334
14,14,8,5,18,14,9,23,10,9,10,2,11.333333333333334
19,23,8,9,9,10,7,26,19,12,13,3,13.166666666666666
17,17,12,10,8,10,9,28,14,10,10,1,12.166666666666666
14,19,3,7,9,18,14,25,10,6,11,2,11.5
15,14,2,9,15,14,9,29,14,6,11,2,11.666666666666666
16,12,10,8,7,20,6,31,12,11,7,0,11.666666666666666
