Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9,Trial 10,Trial 11,Trial 12,Average
 Prey Angle: 180, Prey Angle: 180, Prey Angle: 180, Prey Angle: 180, Prey Angle: 180, Prey Angle: 180, Prey Angle: 180, Prey Angle: 180, Prey Angle: 180, Prey Angle: 180, Prey Angle: 180, Prey Angle: 180
24,18,27,10,20,19,20,15,20,27,21,19,20
25,25,18,13,19,18,15,16,12,17,16,20,17.833333333333332
23,19,17,10,16,16,11,14,9,26,25,20,17.166666666666668
17,22,20,9,18,18,17,15,9,19,18,15,16.416666666666668
24,18,24,13,16,17,12,14,13,20,19,21,17.583333333333332
23,20,25,8,22,17,18,11,14,24,18,21,18.416666666666668
24,16,17,10,16,13,14,20,8,20,20,16,16.166666666666668
22,17,22,6,15,12,11,14,15,21,18,17,15.833333333333334
22,14,15,9,16,17,13,18,16,27,17,20,17
25,20,21,7,13,13,11,11,13,21,19,16,15.833333333333334
21,23,21,6,19,20,12,13,14,27,20,14,17.5
23,20,22,10,13,14,15,15,16,22,18,19,17.25
23,28,17,15,13,16,20,14,14,13,20,16,17.416666666666668
22,23,19,13,20,18,15,12,14,24,16,14,17.5
22,18,20,12,21,13,14,13,13,18,20,12,16.333333333333332
25,21,22,5,20,18,19,9,10,21,23,21,17.833333333333332
22,24,14,13,16,20,20,17,13,20,10,16,17.083333333333332
18,21,25,14,20,17,11,14,15,19,21,13,17.333333333333332
26,20,23,9,16,17,17,15,19,17,19,15,17.75
18,17,23,16,21,18,13,13,10,20,21,11,16.75
25,21,26,14,19,15,13,11,14,24,21,18,18.416666666666668
21,20,25,15,20,15,15,9,18,23,26,19,18.833333333333332
23,17,22,13,26,15,16,12,14,20,23,19,18.333333333333332
25,19,15,17,20,12,20,11,16,19,17,11,16.833333333333332
19,12,21,17,21,17,10,14,16,19,21,15,16.833333333333332
20,22,22,11,22,18,17,14,15,18,18,15,17.666666666666668
21,17,18,17,15,16,17,17,13,22,15,22,17.5
18,15,17,17,24,14,15,14,18,24,19,18,17.75
23,18,18,17,23,14,21,10,12,19,20,20,17.916666666666668
26,15,24,14,25,14,22,8,9,22,18,19,18
22,14,22,16,25,21,12,8,19,18,17,17,17.583333333333332
19,15,27,12,21,19,17,8,16,20,22,15,17.583333333333332
20,14,26,13,23,12,12,5,11,28,18,18,16.666666666666668
21,10,29,14,24,13,20,8,13,28,19,16,17.916666666666668
