Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9,Trial 10,Trial 11,Trial 12,Average
 Prey Angle: 240, Prey Angle: 240, Prey Angle: 240, Prey Angle: 240, Prey Angle: 240, Prey Angle: 240, Prey Angle: 240, Prey Angle: 240, Prey Angle: 240, Prey Angle: 240, Prey Angle: 240, Prey Angle: 240
2,7,3,3,3,4,4,1,3,2,2,3,3.0833333333333335
2,2,2,1,2,3,4,4,6,1,4,4,2.9166666666666665
3,1,2,6,4,2,3,3,3,7,2,2,3.1666666666666665
5,2,3,1,5,2,4,2,2,5,5,6,3.5
0,5,4,0,2,1,7,4,4,6,4,3,3.3333333333333335
3,0,5,4,4,5,5,2,7,5,5,5,4.166666666666667
2,4,3,2,3,6,11,2,8,5,3,10,4.916666666666667
1,5,4,3,2,7,12,4,10,6,2,5,5.083333333333333
2,5,2,2,5,8,8,3,7,4,6,4,4.666666666666667
0,2,3,2,6,3,13,2,1,3,6,3,3.6666666666666665
4,8,4,2,3,2,12,4,4,13,6,3,5.416666666666667
4,6,4,1,1,2,12,4,7,7,7,6,5.083333333333333
1,5,3,1,2,2,8,3,4,8,7,4,4
3,9,0,4,4,4,14,3,6,5,5,2,4.916666666666667
6,4,5,2,1,11,16,4,5,3,8,3,5.666666666666667
3,12,6,3,4,3,12,2,2,9,10,1,5.583333333333333
4,11,3,5,3,4,13,2,4,12,8,2,5.916666666666667
2,15,5,3,3,6,20,2,6,12,15,2,7.583333333333333
1,17,6,6,3,9,11,5,6,17,15,1,8.083333333333334
1,12,5,8,5,8,22,4,6,20,13,4,9
2,20,6,7,2,10,13,3,6,16,18,6,9.083333333333334
1,17,4,3,4,5,20,2,7,18,14,6,8.416666666666666
3,20,7,5,2,6,14,3,7,18,18,3,8.833333333333334
1,12,3,4,6,8,18,2,5,13,16,4,7.666666666666667
5,13,5,6,4,2,16,1,13,15,11,6,8.083333333333334
3,12,6,6,4,7,22,3,6,18,16,5,9
3,22,7,8,4,7,17,3,10,17,10,11,9.916666666666666
6,14,6,6,5,4,17,6,5,14,21,2,8.833333333333334
6,18,6,5,2,6,15,4,3,14,17,8,8.666666666666666
3,19,8,2,4,5,21,4,2,13,14,5,8.333333333333334
7,19,5,3,6,8,14,2,4,13,12,7,8.333333333333334
6,18,3,4,5,7,14,2,5,14,14,6,8.166666666666666
6,17,3,1,4,5,16,6,4,15,19,6,8.5
7,18,8,6,4,5,14,9,2,12,13,12,9.166666666666666
7,12,2,7,4,4,13,8,4,15,19,10,8.75
8,18,13,1,3,4,18,5,6,12,19,16,10.25
10,17,3,3,6,7,18,9,7,12,20,12,10.333333333333334
9,16,11,0,5,4,17,10,8,14,15,11,10
12,14,9,7,7,6,16,7,8,14,15,14,10.75
12,11,9,0,3,6,18,5,5,9,18,10,8.833333333333334
9,12,6,2,5,5,16,5,7,13,15,15,9.166666666666666
12,10,13,7,2,4,23,2,3,12,22,13,10.25
13,16,7,1,5,5,20,8,2,19,18,13,10.583333333333334
8,18,5,1,2,4,14,4,6,12,18,13,8.75
