Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9,Trial 10,Trial 11,Trial 12,Average
 Prey Angle: 120, Prey Angle: 120, Prey Angle: 120, Prey Angle: 120, Prey Angle: 120, Prey Angle: 120, Prey Angle: 120, Prey Angle: 120, Prey Angle: 120, Prey Angle: 120, Prey Angle: 120, Prey Angle: 120
867,932,903,334,520,503,486,452,781,573,456,699,625.5
480,759,833,401,668,728,285,800,687,1038,838,312,652.4166666666666
350,1282,833,482,667,447,163,537,546,733,677,446,596.9166666666666
697,764,934,497,355,752,307,460,661,470,453,465,567.9166666666666
618,1352,644,326,858,700,167,414,622,808,390,496,616.25
411,1102,631,553,1167,530,294,533,622,625,430,347,603.75
528,1034,780,69,965,472,99,583,614,577,636,596,579.4166666666666
565,692,922,519,716,506,258,618,794,706,540,589,618.75
399,805,877,293,853,834,372,610,557,651,701,641,632.75
516,1015,948,519,981,649,312,667,432,480,785,247,629.25
413,727,1118,388,664,640,451,841,644,644,953,518,666.75
319,1011,1453,296,619,652,258,525,745,658,691,640,655.5833333333334
668,907,1434,593,439,429,485,556,575,979,807,512,698.6666666666666
324,816,1360,258,552,540,207,661,454,837,506,350,572.0833333333334
563,571,1008,419,354,629,501,636,571,555,408,557,564.3333333333334
676,742,954,335,807,685,98,634,725,818,481,555,625.8333333333334
575,655,807,517,478,637,372,362,472,602,978,732,598.9166666666666
397,727,866,452,604,568,469,561,619,629,1243,572,642.25
330,706,1159,58,956,784,242,556,464,562,832,473,593.5
493,696,1154,263,712,492,167,667,742,395,965,237,581.9166666666666
397,561,863,481,719,691,392,516,980,637,980,456,639.4166666666666
618,648,1054,267,884,934,446,455,825,509,768,629,669.75
694,844,1106,197,871,371,266,649,437,621,790,467,609.4166666666666
315,708,2136,294,748,367,481,560,669,875,948,578,723.25
464,647,1581,240,990,611,296,738,630,764,1116,819,741.3333333333334
471,541,1209,207,976,769,381,562,598,678,518,500,617.5
735,773,1048,453,605,612,429,468,655,1439,819,463,708.25
714,737,1032,472,646,454,275,568,312,1270,985,538,666.9166666666666
628,1009,1102,216,662,472,555,868,430,1044,704,497,682.25
327,1200,1545,490,803,423,250,572,540,820,1141,354,705.4166666666666
159,888,1525,358,1113,611,639,655,455,636,933,178,679.1666666666666
356,870,1011,709,1029,813,746,455,487,768,624,375,686.9166666666666
607,932,1020,370,969,276,398,559,696,662,711,392,632.6666666666666
353,712,1998,178,1166,379,679,677,765,815,449,621,732.6666666666666
421,1056,1530,193,780,747,733,1014,547,1185,875,476,796.4166666666666
631,1027,1046,409,716,473,68,654,665,1026,964,558,686.4166666666666
390,675,812,470,931,418,523,470,811,1108,568,271,620.5833333333334
229,690,873,214,611,516,264,992,587,589,1247,1176,665.6666666666666
683,1175,1322,872,847,164,584,842,977,650,1099,705,826.6666666666666
288,917,1071,611,983,487,411,643,550,618,861,588,669
216,1038,758,1180,1062,512,464,861,607,670,1081,1254,808.5833333333334
304,1018,1158,871,1071,434,539,514,390,1282,769,649,749.9166666666666
624,817,990,566,1393,387,561,401,439,792,677,465,676
519,1247,1074,440,843,388,502,536,537,651,1054,672,705.25
574,670,1204,613,582,478,586,748,554,817,748,788,696.8333333333334
757,979,1384,402,1013,600,370,942,357,709,783,586,740.1666666666666
385,873,1025,824,843,678,485,680,479,641,397,988,691.5
281,753,1230,629,548,361,376,396,841,980,1031,685,675.9166666666666
384,925,1739,646,970,479,156,631,732,899,527,802,740.8333333333334
652,905,1487,614,777,431,468,739,579,729,734,804,743.25
448,472,1598,543,707,420,369,711,697,516,1107,617,683.75
684,747,1390,943,839,220,583,673,410,865,1118,1019,790.9166666666666
480,913,1480,910,839,782,510,378,612,902,875,655,778
471,960,1102,665,989,313,636,1103,267,807,1049,1017,781.5833333333334
554,1214,1109,600,842,542,628,723,713,838,1109,1094,830.5
504,1089,2058,1068,1150,825,474,751,452,1051,784,932,928.1666666666666
667,1195,1552,603,1094,644,304,479,698,713,1075,945,830.75
682,669,1730,502,1160,588,197,475,514,566,538,836,704.75
774,1272,1420,493,860,289,312,746,587,799,1074,1114,811.6666666666666
871,1038,1222,866,1101,685,277,591,758,629,869,796,808.5833333333334
731,1621,1325,815,1099,536,791,768,602,812,875,502,873.0833333333334
607,1685,1296,832,860,792,212,644,823,948,912,861,872.6666666666666
632,1278,1936,1078,778,616,360,915,879,918,843,862,924.5833333333334
434,1063,1219,1094,1338,500,338,588,693,647,839,870,801.9166666666666
349,1584,1298,862,676,450,442,867,660,503,939,1042,806
515,980,1166,581,865,959,255,600,772,772,1133,840,786.5
869,977,1073,601,951,765,676,759,723,977,1063,740,847.8333333333334
552,508,2015,637,909,672,523,757,859,735,798,818,815.25
600,818,1570,525,596,418,524,901,815,586,631,725,725.75
473,771,1407,479,1037,299,725,382,765,901,780,739,729.8333333333334
412,1329,1476,949,1057,397,545,492,830,726,443,975,802.5833333333334
426,1172,1715,787,865,428,769,388,861,711,903,572,799.75
594,1216,1900,1175,1310,504,887,862,926,657,841,767,969.9166666666666
245,1091,1544,458,690,538,1006,396,717,1014,862,803,780.3333333333334
468,1054,1825,540,655,681,1060,714,887,631,867,1249,885.9166666666666
371,878,2163,371,583,386,815,711,1142,814,1346,722,858.5
585,1079,1601,616,769,475,806,1002,747,645,986,548,821.5833333333334
215,1734,1778,483,675,714,667,1043,770,777,878,1089,901.9166666666666
677,1453,2293,417,772,858,478,599,625,575,859,1078,890.3333333333334
425,1285,1228,769,522,763,1061,1149,615,515,1143,713,849
567,763,1666,709,597,918,767,859,679,675,721,1087,834
386,1065,981,712,1131,799,1196,1254,829,681,520,1258,901
216,985,1497,243,887,608,876,1031,859,1218,811,754,832.0833333333334
260,1791,1129,411,676,573,893,919,659,626,640,1156,811.0833333333334
238,1353,1827,759,693,423,309,961,783,778,482,500,758.8333333333334
245,1576,1365,420,800,781,429,824,703,655,1348,870,834.6666666666666
678,1552,1230,530,566,866,954,607,394,1097,834,853,846.75
400,1111,1773,495,594,415,858,636,748,1103,632,846,800.9166666666666
516,1042,2347,676,659,973,727,962,709,890,1395,783,973.25
476,1497,1608,343,692,472,916,880,970,918,853,882,875.5833333333334
629,756,1392,296,501,594,497,804,499,627,994,1347,744.6666666666666
447,1330,1890,324,547,649,920,806,735,840,1360,801,887.4166666666666
435,1261,1592,587,666,932,918,240,829,534,985,560,794.9166666666666
430,915,2114,460,800,605,628,503,562,785,1539,883,852
123,1275,1695,452,664,637,1196,465,1011,989,1181,740,869
545,943,1759,561,582,614,749,795,555,874,912,597,790.5
455,1049,1938,431,816,416,877,1431,1194,735,705,543,882.5
724,1495,1951,482,949,683,1154,567,516,625,741,1000,907.25
723,1241,2384,464,1003,629,761,910,988,888,1144,1275,1034.1666666666667
322,1308,1680,530,649,679,1234,806,882,1074,1130,716,917.5
684,971,1820,811,469,812,1193,855,604,781,976,639,884.5833333333334
701,1517,2075,810,465,476,868,908,1035,877,806,411,912.4166666666666
800,1538,1570,1103,703,472,1067,312,919,668,607,461,851.6666666666666
878,904,1910,592,478,534,992,1141,1230,582,1027,1338,967.1666666666666
1347,1130,1927,844,791,838,988,488,659,795,993,986,982.1666666666666
1134,1154,1591,437,817,356,1345,549,490,608,793,832,842.1666666666666
1748,1301,1902,456,1165,690,1105,839,866,612,1096,522,1025.1666666666667
664,1257,1777,519,989,840,686,983,964,734,934,853,933.3333333333334
886,1240,1942,492,645,628,1168,708,1428,695,689,687,934
580,1170,2190,1009,826,547,1070,537,1219,646,899,912,967.0833333333334
617,1174,1865,1127,1012,722,666,926,1197,601,915,1285,1008.9166666666666
505,779,1334,789,880,822,524,540,1582,670,921,530,823
869,1093,1919,1184,661,470,1194,738,1222,1143,922,510,993.75
619,888,1898,623,844,847,1351,592,1239,748,842,607,924.8333333333334
419,1409,1981,1099,924,914,1252,654,1259,627,902,880,1026.6666666666667
946,1311,2337,725,719,580,1007,552,1443,1096,634,555,992.0833333333334
838,1049,1830,1069,425,527,672,722,1241,875,1298,791,944.75
1079,1590,1755,1110,705,853,541,505,1253,934,941,946,1017.6666666666666
662,1127,1724,749,579,899,912,614,1481,911,763,1051,956
1127,1335,1493,871,537,620,824,512,1286,748,587,530,872.5
942,1316,1407,636,751,734,653,734,1659,722,659,817,919.1666666666666
699,998,1133,915,649,553,891,711,1443,900,710,526,844
1367,1179,1533,453,609,494,775,587,1173,801,849,1095,909.5833333333334
554,998,1207,491,658,685,607,643,1230,418,687,1032,767.5
1156,1083,1116,407,521,659,496,669,2057,780,464,1341,895.75
694,1493,1919,792,702,525,621,381,1895,678,928,715,945.25
408,787,1635,1017,1053,695,1124,570,1960,725,1256,842,1006
930,1385,1434,396,829,808,884,448,1698,777,1092,594,939.5833333333334
1060,1019,1459,1037,818,967,930,605,1672,979,840,1018,1033.6666666666667
787,1115,1432,736,1072,700,1073,852,1689,664,1122,655,991.4166666666666
904,1413,2344,591,695,1056,1197,961,1726,868,589,841,1098.75
859,1325,1965,836,1189,800,749,667,1491,573,1217,1051,1060.1666666666667
920,1373,2410,786,1052,523,563,789,2016,610,635,1019,1058
895,1182,1828,735,687,665,894,832,1477,695,748,1562,1016.6666666666666
1079,1388,2023,422,1223,825,1027,600,1731,535,910,779,1045.1666666666667
522,1711,1693,385,1338,611,1056,551,1913,775,805,641,1000.0833333333334
760,1495,1863,1104,1394,866,775,780,1247,1040,586,883,1066.0833333333333
