Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9,Trial 10,Trial 11,Trial 12,Average
 Prey Angle: 240, Prey Angle: 240, Prey Angle: 240, Prey Angle: 240, Prey Angle: 240, Prey Angle: 240, Prey Angle: 240, Prey Angle: 240, Prey Angle: 240, Prey Angle: 240, Prey Angle: 240, Prey Angle: 240
71,22,92,48,260,0,43,97,168,49,21,49,76.66666666666667
19,75,53,47,204,98,0,31,164,80,52,105,77.33333333333333
66,106,49,112,96,98,30,0,11,8,49,207,69.33333333333333
0,108,0,203,71,92,60,308,0,0,1,49,74.33333333333333
1,73,0,101,78,207,114,49,49,73,14,0,63.25
52,9,0,142,69,0,13,70,75,49,10,98,48.916666666666664
49,103,0,194,72,97,56,196,115,98,88,108,98
0,94,34,101,71,0,111,144,20,98,86,67,68.83333333333333
15,72,98,95,98,22,78,178,302,63,49,146,101.33333333333333
2,127,23,98,92,147,146,98,204,0,100,0,86.41666666666667
54,98,0,262,11,24,152,98,100,134,196,98,102.25
1,95,47,49,249,194,199,167,181,154,77,67,123.33333333333333
0,100,49,182,0,284,51,256,212,80,215,29,121.5
14,153,0,562,196,168,75,186,56,108,128,239,157.08333333333334
61,30,77,685,13,118,120,218,64,35,366,0,148.91666666666666
28,135,0,196,175,221,192,183,370,335,289,49,181.08333333333334
42,177,77,172,50,171,156,239,72,352,289,117,159.5
98,185,49,528,49,177,322,198,71,451,142,279,212.41666666666666
20,78,0,503,49,170,113,210,343,572,336,2,199.66666666666666
106,356,0,371,121,125,203,372,163,400,305,95,218.08333333333334
89,333,0,455,49,273,132,191,311,918,298,266,276.25
0,389,196,99,0,505,186,328,379,602,365,294,278.5833333333333
98,358,98,154,49,126,219,102,385,719,281,262,237.58333333333334
75,402,49,388,0,222,270,333,295,609,622,10,272.9166666666667
169,490,49,393,0,320,229,197,503,625,155,137,272.25
7,471,50,267,98,386,183,245,307,422,109,90,219.58333333333334
55,403,0,296,0,412,172,285,203,670,152,289,244.75
113,739,0,471,0,399,173,389,154,936,149,222,312.0833333333333
182,585,98,451,81,206,120,147,402,518,459,143,282.6666666666667
135,486,0,532,82,399,153,55,213,870,62,388,281.25
338,904,0,298,0,202,314,163,400,784,185,200,315.6666666666667
174,766,37,517,39,344,204,241,462,795,196,269,337
148,937,0,120,0,348,190,77,213,1070,272,426,316.75
88,1301,0,369,2,496,122,156,224,667,209,353,332.25
265,975,49,326,0,269,160,406,476,996,332,503,396.4166666666667
336,669,98,261,0,465,219,157,226,811,160,624,335.5
361,681,0,313,0,223,331,337,185,651,271,886,353.25
388,869,155,334,0,277,258,365,365,811,213,609,387
