Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9,Trial 10,Trial 11,Trial 12,Average
 Prey Angle: 300, Prey Angle: 300, Prey Angle: 300, Prey Angle: 300, Prey Angle: 300, Prey Angle: 300, Prey Angle: 300, Prey Angle: 300, Prey Angle: 300, Prey Angle: 300, Prey Angle: 300, Prey Angle: 300
5,5,3,3,4,4,4,2,3,4,4,0,3.4166666666666665
3,1,3,3,6,1,7,2,3,0,1,4,2.8333333333333335
3,2,3,2,5,2,2,3,1,3,2,5,2.75
7,4,6,3,1,2,6,7,0,4,3,2,3.75
6,4,3,1,2,7,7,2,0,0,5,1,3.1666666666666665
6,7,8,2,4,7,3,6,3,1,5,5,4.75
5,3,3,5,4,8,2,6,3,10,2,3,4.5
4,3,8,1,5,10,6,4,2,3,3,3,4.333333333333333
3,4,1,5,5,10,11,4,6,11,1,1,5.166666666666667
6,6,9,3,4,5,13,0,3,6,2,5,5.166666666666667
5,3,8,1,2,3,10,1,6,5,3,3,4.166666666666667
10,5,6,0,2,5,14,2,5,3,4,4,5
5,2,2,0,2,6,12,6,7,5,1,3,4.25
2,5,4,2,4,5,11,2,7,7,4,4,4.75
8,4,4,2,5,5,20,5,8,10,2,8,6.75
2,4,9,1,8,6,16,5,11,5,1,4,6
5,7,6,2,4,7,11,4,10,10,2,5,6.083333333333333
4,2,6,5,4,6,12,4,14,7,1,3,5.666666666666667
4,7,8,5,10,9,21,9,14,9,2,5,8.583333333333334
3,4,9,7,9,7,14,9,13,10,4,3,7.666666666666667
2,7,10,4,5,9,16,7,11,14,0,8,7.75
3,7,5,3,5,7,13,8,11,11,1,3,6.416666666666667
6,6,10,8,3,12,11,7,11,5,2,8,7.416666666666667
2,8,9,11,3,7,12,9,10,10,4,8,7.75
2,9,9,8,6,11,17,6,7,11,3,7,8
5,9,6,10,0,13,8,8,12,7,4,12,7.833333333333333
1,7,10,14,2,11,15,12,10,9,3,8,8.5
4,13,10,9,1,17,12,6,13,12,1,8,8.833333333333334
1,10,10,10,3,17,9,5,13,11,2,11,8.5
5,3,11,6,5,15,10,6,12,10,0,13,8
2,6,5,7,2,19,7,3,14,11,4,11,7.583333333333333
5,12,8,6,4,15,16,4,13,10,1,7,8.416666666666666
5,7,4,11,5,15,13,3,9,16,3,12,8.583333333333334
3,4,9,14,2,23,9,8,15,16,2,9,9.5
6,7,7,10,4,14,13,6,13,11,2,8,8.416666666666666
1,9,8,11,7,18,10,7,13,14,1,10,9.083333333333334
2,4,6,19,3,18,12,10,10,11,3,7,8.75
0,7,5,19,4,14,12,6,14,17,2,10,9.166666666666666
6,6,4,15,5,16,8,7,13,10,6,20,9.666666666666666
4,12,6,16,4,13,11,5,15,10,1,14,9.25
4,8,9,20,6,16,10,5,17,15,2,11,10.25
2,6,6,15,3,18,12,6,15,11,1,12,8.916666666666666
6,12,3,11,2,14,14,7,9,9,0,19,8.833333333333334
4,9,3,13,4,19,10,12,11,14,4,15,9.833333333333334
2,2,8,13,4,14,12,7,10,15,3,14,8.666666666666666
8,9,6,14,1,19,14,5,11,14,2,14,9.75
10,11,11,13,5,16,17,8,11,17,1,16,11.333333333333334
7,8,11,16,2,17,13,11,17,13,4,12,10.916666666666666
9,6,7,17,4,18,12,13,17,16,5,6,10.833333333333334
13,6,8,18,6,21,14,8,11,12,2,10,10.75
12,9,13,13,5,18,11,8,10,10,2,14,10.416666666666666
13,15,12,19,3,16,14,12,15,13,3,10,12.083333333333334
10,15,2,17,1,10,10,8,12,15,3,10,9.416666666666666
9,8,15,21,3,11,11,9,11,13,2,15,10.666666666666666
16,13,7,24,5,19,12,8,18,11,2,14,12.416666666666666
13,11,10,22,7,20,10,9,12,12,7,11,12
15,12,7,17,4,13,9,6,13,14,5,6,10.083333333333334
11,7,8,26,3,17,12,7,14,8,5,11,10.75
12,15,7,19,3,13,19,14,15,7,3,11,11.5
11,12,10,20,6,13,15,5,19,6,1,12,10.833333333333334
12,15,9,26,4,12,12,7,12,11,4,8,11
14,18,7,29,3,17,11,9,18,7,5,7,12.083333333333334
6,17,11,36,6,16,11,9,20,10,2,13,13.083333333333334
13,12,3,29,4,19,12,8,22,10,7,12,12.583333333333334
14,13,12,27,5,20,16,8,23,11,5,14,14
11,16,7,30,2,17,7,8,18,8,2,13,11.583333333333334
10,9,5,27,2,16,14,6,20,15,1,14,11.583333333333334
13,16,10,30,1,16,14,6,24,11,3,13,13.083333333333334
11,14,12,29,3,19,12,10,22,12,3,12,13.25
10,14,9,26,2,19,11,10,20,11,6,14,12.666666666666666
14,14,8,30,9,21,13,13,19,18,0,13,14.333333333333334
11,13,12,30,1,19,12,10,16,13,4,15,13
15,13,10,26,2,19,12,15,20,12,6,17,13.916666666666666
16,15,9,24,6,17,15,7,13,13,5,18,13.166666666666666
15,15,5,26,6,22,13,14,13,13,3,15,13.333333333333334
14,12,3,29,5,19,17,8,10,15,3,20,12.916666666666666
24,15,4,24,8,16,15,14,15,9,3,18,13.75
12,21,5,19,6,17,15,17,8,10,3,11,12
13,13,9,26,4,19,14,16,12,13,3,17,13.25
18,16,8,28,9,22,12,11,9,12,4,15,13.666666666666666
15,20,13,24,4,21,16,13,12,15,5,23,15.083333333333334
14,22,13,33,6,20,16,10,18,13,1,18,15.333333333333334
16,17,17,29,4,25,13,20,7,13,3,14,14.833333333333334
19,15,17,27,6,26,15,14,14,14,4,20,15.916666666666666
18,15,19,26,8,21,15,8,11,12,5,14,14.333333333333334
11,22,21,27,8,21,15,12,12,10,1,14,14.5
18,17,20,27,6,24,13,12,15,8,2,12,14.5
17,19,22,32,10,17,20,12,8,11,5,15,15.666666666666666
12,16,27,26,9,22,22,15,9,7,1,10,14.666666666666666
20,18,26,30,10,19,21,13,17,7,5,15,16.75
19,17,28,29,7,21,21,13,10,6,5,13,15.75
12,15,24,30,11,18,17,11,15,6,3,12,14.5
19,12,17,23,10,16,20,9,20,10,3,8,13.916666666666666
16,12,24,33,10,20,16,15,19,10,1,13,15.75
20,13,14,27,16,20,16,15,18,11,3,14,15.583333333333334
16,17,23,30,11,22,16,12,21,10,1,16,16.25
21,16,20,30,9,18,18,13,14,15,6,15,16.25
19,18,26,28,10,19,20,13,12,13,2,15,16.25
17,13,23,33,8,22,16,18,22,8,5,19,17
16,18,23,29,7,16,19,17,18,9,2,14,15.666666666666666
15,14,24,27,11,20,18,18,14,11,0,15,15.583333333333334
15,13,23,25,8,15,18,13,15,9,3,16,14.416666666666666
18,16,27,30,7,23,18,11,17,11,7,19,17
13,10,29,32,7,21,18,18,16,11,3,20,16.5
15,17,24,32,5,20,17,13,14,6,0,16,14.916666666666666
12,11,22,25,9,14,22,9,16,9,2,16,13.916666666666666
13,10,32,23,5,15,17,15,14,10,2,11,13.916666666666666
16,10,23,22,9,17,26,15,17,11,2,14,15.166666666666666
13,14,30,25,9,20,15,13,13,13,6,21,16
11,14,21,24,11,21,17,14,13,11,4,19,15
9,9,21,25,11,15,17,15,16,8,2,13,13.416666666666666
9,12,21,23,9,21,19,14,12,10,2,16,14
8,16,27,25,4,19,17,8,17,12,5,13,14.25
6,11,19,22,6,18,18,9,16,8,2,12,12.25
13,12,19,23,11,21,17,20,15,8,2,20,15.083333333333334
8,13,27,24,9,17,17,11,22,7,3,18,14.666666666666666
16,13,23,23,9,20,16,19,15,13,1,18,15.5
13,15,27,27,14,17,16,19,23,8,3,13,16.25
13,14,29,29,12,23,12,19,23,5,1,18,16.5
10,18,29,24,14,14,17,15,23,8,4,23,16.583333333333332
17,15,28,19,7,19,14,13,17,12,5,20,15.5
14,11,23,20,8,17,13,12,19,12,3,18,14.166666666666666
14,15,20,19,11,14,15,14,27,14,4,19,15.5
12,12,22,21,12,12,14,15,15,16,6,19,14.666666666666666
14,12,22,25,7,12,16,11,21,11,9,10,14.166666666666666
10,14,24,27,9,17,11,13,25,12,4,20,15.5
18,17,25,23,8,14,15,13,20,10,2,12,14.75
17,12,27,29,6,13,13,13,22,13,2,15,15.166666666666666
14,15,22,29,7,21,18,13,15,18,4,17,16.083333333333332
23,14,25,28,12,23,13,19,21,15,6,17,18
14,17,26,26,9,22,10,20,21,17,4,18,17
17,18,24,22,9,17,18,24,18,11,5,14,16.416666666666668
16,21,25,24,16,18,14,22,18,12,2,18,17.166666666666668
16,14,23,21,9,16,12,19,20,14,1,18,15.25
15,19,27,20,15,18,13,22,22,9,6,14,16.666666666666668
15,9,22,25,13,15,17,24,27,17,1,13,16.5
12,15,24,17,6,17,18,23,26,13,4,13,15.666666666666666
20,16,19,17,7,19,20,23,24,13,4,15,16.416666666666668
14,17,21,19,9,15,16,25,23,11,1,10,15.083333333333334
17,17,26,17,14,13,17,28,22,9,4,20,17
15,16,22,20,7,12,10,18,24,9,3,12,14
16,14,17,22,16,15,18,27,19,14,3,11,16
11,17,21,19,10,18,14,21,15,12,4,14,14.666666666666666
18,23,26,20,6,12,11,20,21,15,6,12,15.833333333333334
15,19,21,22,12,9,15,22,19,13,3,17,15.583333333333334
18,19,20,20,13,15,18,23,18,9,3,15,15.916666666666666
16,15,29,21,11,12,15,29,15,7,4,14,15.666666666666666
22,13,21,20,11,13,19,25,18,7,1,17,15.583333333333334
23,12,27,24,10,15,19,29,21,9,6,12,17.25
19,13,24,23,11,17,12,23,17,13,3,15,15.833333333333334
18,17,25,24,9,16,14,25,21,13,4,14,16.666666666666668
22,20,20,19,13,16,13,26,17,14,3,7,15.833333333333334
