Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9,Trial 10,Trial 11,Trial 12,Average
 Prey Angle: 120, Prey Angle: 120, Prey Angle: 120, Prey Angle: 120, Prey Angle: 120, Prey Angle: 120, Prey Angle: 120, Prey Angle: 120, Prey Angle: 120, Prey Angle: 120, Prey Angle: 120, Prey Angle: 120
1,4,5,5,0,3,2,0,3,5,6,5,3.25
8,4,3,7,5,1,2,3,3,6,4,7,4.416666666666667
4,2,4,0,3,2,3,3,3,4,4,5,3.0833333333333335
4,4,5,2,5,5,4,1,5,4,7,4,4.166666666666667
1,3,1,4,4,2,3,6,3,3,10,7,3.9166666666666665
6,4,0,3,5,2,3,7,2,6,11,3,4.333333333333333
6,2,2,4,3,4,1,8,1,5,7,3,3.8333333333333335
3,1,0,2,7,5,2,2,2,4,8,6,3.5
8,5,1,4,1,7,2,4,7,0,4,2,3.75
6,2,2,4,9,7,1,4,2,1,5,6,4.083333333333333
8,4,5,6,7,8,2,3,2,6,4,5,5
6,2,1,5,11,10,3,2,5,5,6,5,5.083333333333333
12,2,7,4,2,9,3,6,6,6,7,2,5.5
9,3,2,6,7,9,2,2,8,9,6,5,5.666666666666667
16,1,3,4,7,11,3,5,6,3,9,4,6
13,5,2,6,6,7,2,1,9,13,7,2,6.083333333333333
9,3,6,5,7,9,3,9,8,6,6,3,6.166666666666667
9,5,3,7,8,9,6,2,5,5,11,2,6
13,4,3,8,9,5,6,5,7,8,8,5,6.75
11,1,13,6,9,7,3,3,4,7,7,5,6.333333333333333
12,1,8,6,10,8,5,2,5,7,8,4,6.333333333333333
11,6,8,6,8,7,4,8,7,11,8,3,7.25
18,6,12,11,7,7,2,7,8,7,9,5,8.25
14,8,17,8,8,5,3,6,3,12,13,8,8.75
7,3,14,8,7,8,1,10,6,5,4,1,6.166666666666667
13,4,18,10,11,4,7,5,6,7,9,3,8.083333333333334
10,5,17,4,15,7,8,9,6,3,9,0,7.75
13,5,23,9,12,6,1,5,6,6,12,4,8.5
15,6,21,8,12,16,8,9,4,8,15,4,10.5
13,7,24,7,9,17,2,6,7,9,13,5,9.916666666666666
9,10,21,6,12,16,4,6,6,9,12,8,9.916666666666666
11,6,20,8,10,18,8,9,4,6,11,5,9.666666666666666
11,12,19,7,10,18,10,6,8,6,14,3,10.333333333333334
10,7,24,5,10,14,6,9,6,9,19,10,10.75
12,6,27,7,10,14,10,7,6,10,11,4,10.333333333333334
17,7,23,12,8,22,8,11,7,15,10,9,12.416666666666666
