Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9,Trial 10,Trial 11,Trial 12,Average
 Prey Angle: 360, Prey Angle: 360, Prey Angle: 360, Prey Angle: 360, Prey Angle: 360, Prey Angle: 360, Prey Angle: 360, Prey Angle: 360, Prey Angle: 360, Prey Angle: 360, Prey Angle: 360, Prey Angle: 360
51,52,81,49,59,101,0,82,81,82,97,49,65.33333333333333
98,10,105,0,11,171,15,84,0,21,110,129,62.833333333333336
125,12,98,183,87,106,32,74,84,11,49,1,71.83333333333333
0,0,132,188,112,46,0,122,170,69,50,55,78.66666666666667
196,11,216,67,77,107,28,0,54,0,59,75,74.16666666666667
18,34,115,39,62,130,52,161,72,11,71,156,76.75
112,0,233,31,92,281,15,69,112,19,0,142,92.16666666666667
49,30,333,17,49,292,49,49,182,28,51,76,100.41666666666667
44,15,139,49,34,305,152,6,154,207,42,60,100.58333333333333
116,9,273,125,19,329,30,52,302,86,9,147,124.75
0,15,211,126,32,292,95,191,147,0,0,53,96.83333333333333
226,39,451,98,49,255,0,116,337,0,0,98,139.08333333333334
12,108,420,267,12,396,49,98,393,49,5,204,167.75
0,23,148,9,49,162,221,49,140,49,4,142,83
425,28,324,49,158,348,222,160,196,49,43,113,176.25
286,31,833,0,17,289,190,200,178,216,85,237,213.5
504,0,531,61,0,322,177,164,240,147,43,138,193.91666666666666
496,36,343,98,49,528,182,98,177,110,59,138,192.83333333333334
374,43,833,245,41,266,108,111,280,38,28,152,209.91666666666666
494,6,356,0,22,464,130,116,183,56,125,83,169.58333333333334
301,14,828,205,73,524,173,336,341,12,135,235,264.75
298,24,1000,50,22,421,171,98,566,58,162,96,247.16666666666666
293,0,1323,63,50,274,135,196,179,67,170,70,235
154,125,632,147,32,299,298,147,147,0,45,166,182.66666666666666
374,0,1098,67,44,700,137,245,266,70,42,106,262.4166666666667
398,17,308,98,107,444,166,252,489,66,233,153,227.58333333333334
306,65,489,167,24,512,143,147,131,119,188,164,204.58333333333334
204,49,658,98,48,507,125,49,289,102,113,106,195.66666666666666
232,0,696,98,120,470,319,268,460,116,77,277,261.0833333333333
142,23,646,171,135,470,301,98,234,124,208,141,224.41666666666666
309,0,672,137,153,404,281,196,285,186,133,102,238.16666666666666
357,30,438,186,71,335,161,98,952,112,119,98,246.41666666666666
597,49,703,156,128,368,200,196,357,15,161,135,255.41666666666666
356,0,546,59,129,594,219,392,762,18,95,193,280.25
449,118,571,105,51,329,465,162,442,8,172,0,239.33333333333334
