Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9,Trial 10,Trial 11,Trial 12,Average
 Prey Angle: 300, Prey Angle: 300, Prey Angle: 300, Prey Angle: 300, Prey Angle: 300, Prey Angle: 300, Prey Angle: 300, Prey Angle: 300, Prey Angle: 300, Prey Angle: 300, Prey Angle: 300, Prey Angle: 300
49,127,0,70,0,14,71,49,2,124,0,95,50.083333333333336
0,0,49,34,98,76,187,0,171,49,90,104,71.5
108,191,69,0,162,139,79,10,0,19,98,128,83.58333333333333
194,49,7,12,49,49,122,0,25,0,0,0,42.25
205,49,41,98,0,0,73,99,5,225,49,35,73.25
47,23,49,49,26,16,162,1,0,144,50,75,53.5
49,98,0,75,7,72,101,0,55,463,31,0,79.25
196,147,65,215,49,17,186,49,149,501,0,0,131.16666666666666
12,266,75,30,187,16,321,80,0,275,18,0,106.66666666666667
105,147,0,0,29,24,420,66,0,77,64,121,87.75
7,196,0,87,49,112,252,49,54,148,38,13,83.75
163,86,121,101,76,9,321,98,51,140,22,186,114.5
148,148,98,226,36,48,287,34,65,311,18,158,131.41666666666666
229,49,132,173,169,8,386,34,92,173,11,212,139
265,313,29,0,139,12,400,50,1,95,50,70,118.66666666666667
98,196,0,49,59,0,486,63,49,207,211,147,130.41666666666666
62,217,21,68,88,98,345,186,134,154,126,136,136.25
192,171,12,49,62,49,355,89,0,227,110,13,110.75
205,325,35,98,92,49,231,111,61,365,72,48,141
148,281,0,383,204,90,385,26,109,214,109,107,171.33333333333334
149,273,0,266,258,138,407,0,59,283,148,98,173.25
161,67,8,151,103,159,210,195,98,139,142,52,123.75
98,294,0,322,199,49,301,97,49,411,102,94,168
196,195,0,333,224,34,345,67,98,247,211,38,165.66666666666666
98,304,139,799,192,49,307,206,49,281,248,94,230.5
394,98,78,401,229,87,352,91,173,223,205,48,198.25
245,298,56,235,349,182,326,37,98,453,98,115,207.66666666666666
386,204,207,282,196,40,545,14,127,375,123,117,218
230,180,43,181,108,304,433,149,161,260,88,88,185.41666666666666
393,340,148,376,254,177,210,181,363,272,293,61,255.66666666666666
484,205,62,386,325,227,379,24,103,324,230,217,247.16666666666666
400,294,18,300,163,233,700,148,264,194,398,278,282.5
374,596,331,414,143,49,626,107,164,127,421,148,291.6666666666667
147,160,183,679,326,71,563,90,340,231,364,108,271.8333333333333
112,152,160,500,296,1,548,74,566,351,314,152,268.8333333333333
245,175,362,569,194,0,547,128,340,383,392,59,282.8333333333333
484,345,183,439,180,108,201,45,608,202,388,220,283.5833333333333
392,302,114,554,198,100,376,257,390,322,292,61,279.8333333333333
368,238,251,822,184,167,168,121,172,170,385,99,262.0833333333333
380,265,134,487,137,200,505,261,237,297,452,120,289.5833333333333
390,266,188,256,183,216,553,181,72,334,570,163,281
497,372,196,518,457,215,457,188,156,315,355,247,331.0833333333333
227,462,150,465,335,541,561,178,513,379,460,199,372.5
441,448,220,355,288,362,280,140,135,367,252,143,285.9166666666667
425,650,155,712,218,957,299,186,220,440,289,344,407.9166666666667
342,207,305,396,334,808,415,410,151,438,305,160,355.9166666666667
189,366,125,585,278,866,213,261,129,235,411,244,325.1666666666667
528,153,186,642,264,696,529,90,181,346,149,167,327.5833333333333
400,481,477,544,91,310,362,130,128,357,673,298,354.25
250,397,238,291,182,635,269,91,266,392,812,515,361.5
532,321,207,441,184,395,269,254,254,499,943,275,381.1666666666667
329,326,288,363,271,812,191,71,345,882,653,257,399
529,279,323,438,235,590,301,51,509,171,664,224,359.5
573,225,66,526,173,736,299,252,159,399,685,280,364.4166666666667
723,454,134,481,103,718,207,134,319,394,696,170,377.75
784,496,206,665,147,291,595,161,329,507,401,85,388.9166666666667
849,509,306,604,186,508,309,233,263,354,630,77,402.3333333333333
343,562,428,344,150,598,337,137,115,380,707,168,355.75
885,440,179,804,183,1325,180,309,114,525,974,175,507.75
344,350,249,554,244,534,278,73,211,728,963,176,392
497,599,278,666,221,566,155,195,165,256,1224,237,421.5833333333333
627,651,106,501,264,1095,103,80,155,224,1086,272,430.3333333333333
1029,567,86,481,336,702,498,165,81,330,1016,263,462.8333333333333
746,643,164,359,169,600,344,263,244,218,420,275,370.4166666666667
500,854,374,353,277,784,198,181,199,445,803,319,440.5833333333333
652,709,239,251,158,768,258,276,171,170,1012,311,414.5833333333333
904,861,137,649,213,415,355,274,405,328,1066,514,510.0833333333333
568,872,50,501,320,633,298,211,78,380,747,146,400.3333333333333
662,712,186,427,200,492,245,301,487,243,522,117,382.8333333333333
900,1134,161,578,150,551,343,305,124,546,1131,335,521.5
854,502,141,516,320,508,545,268,134,508,980,446,476.8333333333333
721,563,227,446,244,214,183,160,92,313,325,397,323.75
583,675,138,280,299,534,196,216,154,346,1201,326,412.3333333333333
937,903,323,648,128,356,180,200,177,388,1030,356,468.8333333333333
1234,656,206,299,135,495,328,298,304,169,1006,547,473.0833333333333
758,777,305,548,100,398,321,253,0,305,1209,343,443.0833333333333
575,584,192,376,185,384,440,246,177,322,1239,479,433.25
905,257,128,415,265,619,123,261,166,393,1494,489,459.5833333333333
952,620,202,414,401,600,307,285,137,414,1479,287,508.1666666666667
1160,364,323,499,284,668,488,317,224,359,1446,511,553.5833333333334
1280,345,45,481,199,552,288,261,345,546,683,435,455
937,349,185,522,256,897,252,226,42,329,993,496,457
996,735,188,700,315,362,392,271,299,519,1412,349,544.8333333333334
1086,436,199,339,237,286,245,339,264,438,1376,391,469.6666666666667
1252,626,175,396,245,1130,117,372,334,687,844,353,544.25
1056,521,289,700,368,797,111,242,361,524,1012,128,509.0833333333333
710,482,98,678,317,464,320,359,59,528,1025,317,446.4166666666667
807,459,339,333,465,874,184,320,352,590,928,339,499.1666666666667
808,460,497,562,179,558,260,338,339,485,1164,385,502.9166666666667
564,685,426,589,223,648,229,649,442,682,1173,691,583.4166666666666
1149,446,315,612,293,507,277,312,581,361,1130,379,530.1666666666666
1129,950,421,341,269,519,131,338,271,406,1059,411,520.4166666666666
830,600,492,863,298,721,223,422,85,426,695,256,492.5833333333333
1089,758,406,359,321,892,166,277,320,417,475,341,485.0833333333333
643,612,478,662,413,426,312,265,370,465,1138,503,523.9166666666666
509,524,347,524,183,226,294,233,566,597,1166,462,469.25
307,613,349,299,407,1039,217,78,429,354,1244,403,478.25
713,281,494,427,132,410,445,167,415,628,1060,533,475.4166666666667
893,580,444,311,368,855,404,336,251,862,909,377,549.1666666666666
1078,355,339,550,238,516,441,259,415,707,686,206,482.5
901,692,367,643,209,563,201,483,393,831,1073,299,554.5833333333334
487,346,293,568,293,722,506,343,254,505,949,392,471.5
765,414,395,376,233,564,696,413,442,269,1152,171,490.8333333333333
774,591,325,551,326,653,400,777,612,591,1102,240,578.5
1040,975,558,405,159,508,435,772,586,922,1443,440,686.9166666666666
729,750,405,450,228,575,441,530,403,609,420,565,508.75
656,507,382,946,182,512,618,645,340,722,803,205,543.1666666666666
1276,294,457,444,113,632,274,361,374,551,1364,231,530.9166666666666
591,585,510,568,171,759,385,501,460,571,589,228,493.1666666666667
936,979,213,670,169,421,403,704,367,536,556,95,504.0833333333333
1149,357,356,663,308,674,371,455,276,656,780,111,513
824,634,394,542,111,338,336,392,730,515,817,275,492.3333333333333
659,560,313,796,408,641,267,286,337,558,1179,622,552.1666666666666
617,668,331,628,228,679,404,590,689,747,948,285,567.8333333333334
538,888,472,608,215,677,512,794,180,527,1381,429,601.75
410,460,132,559,211,602,404,619,385,822,986,264,487.8333333333333
394,582,408,416,65,749,398,585,389,600,1397,252,519.5833333333334
469,336,199,300,175,735,202,560,843,779,1052,503,512.75
849,306,188,409,357,575,368,646,384,595,1082,409,514
843,517,317,456,262,811,362,441,633,975,1242,439,608.1666666666666
1044,657,187,1025,184,987,428,632,581,680,1566,493,705.3333333333334
502,549,252,602,156,931,819,666,387,541,1025,616,587.1666666666666
851,313,380,782,262,864,448,180,495,800,975,436,565.5
938,563,550,701,173,631,715,628,896,450,958,463,638.8333333333334
912,541,500,607,168,688,401,414,514,702,815,616,573.1666666666666
1085,631,498,561,131,490,231,441,228,420,901,487,508.6666666666667
552,412,397,514,239,724,885,1140,843,516,1084,373,639.9166666666666
729,443,561,540,276,859,458,854,493,660,1456,579,659
721,888,515,707,229,439,719,1130,682,517,1731,645,743.5833333333334
694,440,618,691,260,529,586,483,728,622,1222,461,611.1666666666666
1132,756,542,570,115,444,614,792,348,774,1401,349,653.0833333333334
1643,579,605,1194,334,985,378,570,639,655,1392,447,785.0833333333334
1405,654,482,871,306,548,542,773,484,543,1591,323,710.1666666666666
774,651,776,737,326,490,587,536,512,782,1216,356,645.25
1088,815,716,598,236,497,599,490,294,713,1328,439,651.0833333333334
436,1060,1100,641,322,587,477,544,549,774,940,349,648.25
557,488,805,981,286,468,404,703,371,637,1069,267,586.3333333333334
636,488,1159,739,283,671,512,1220,356,525,854,319,646.8333333333334
791,696,818,743,193,902,505,666,525,480,1776,539,719.5
945,522,709,786,376,394,566,560,427,403,995,364,587.25
773,683,1233,590,486,370,557,790,581,804,1185,433,707.0833333333334
794,236,1201,618,223,805,516,655,660,798,1651,777,744.5
1206,454,849,475,201,596,265,975,646,657,1188,371,656.9166666666666
685,314,801,673,246,646,318,555,373,609,1337,468,585.4166666666666
781,509,1089,785,314,782,395,827,582,489,1039,547,678.25
630,424,981,1388,532,594,400,551,640,552,1176,158,668.8333333333334
817,363,923,680,251,432,821,412,550,797,515,555,593
611,563,601,583,197,442,284,460,888,747,1097,305,564.8333333333334
772,373,859,712,388,849,547,748,586,721,880,377,651
1121,534,543,543,380,663,597,740,499,610,1273,410,659.4166666666666
758,305,615,528,308,204,519,991,600,562,1239,244,572.75
1032,730,925,654,295,564,605,896,727,829,939,488,723.6666666666666
754,615,679,737,382,522,406,853,688,701,1207,368,659.3333333333334
595,567,931,609,348,219,566,1451,426,562,1428,545,687.25
488,691,829,807,403,677,421,1234,742,812,790,409,691.9166666666666
521,359,1000,768,385,439,156,1301,941,606,896,396,647.3333333333334
1136,350,895,843,237,518,497,1536,806,657,1108,368,745.9166666666666
