Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9,Trial 10,Trial 11,Trial 12,Average
 Prey Angle: 180, Prey Angle: 180, Prey Angle: 180, Prey Angle: 180, Prey Angle: 180, Prey Angle: 180, Prey Angle: 180, Prey Angle: 180, Prey Angle: 180, Prey Angle: 180, Prey Angle: 180, Prey Angle: 180
62,82,30,24,68,132,98,223,98,85,23,120,87.08333333333333
39,147,72,49,0,25,98,136,50,0,443,6,88.75
247,17,5,78,111,24,0,209,106,58,203,17,89.58333333333333
122,191,63,219,33,54,64,147,18,66,119,0,91.33333333333333
182,12,50,207,0,22,0,49,49,8,254,10,70.25
133,70,49,23,257,13,46,94,50,64,76,95,80.83333333333333
377,57,1,9,278,69,0,34,49,138,50,128,99.16666666666667
344,12,0,146,149,63,0,35,16,40,98,157,88.33333333333333
297,283,15,12,265,49,50,259,208,7,108,268,151.75
253,49,0,62,406,111,0,106,1,49,11,345,116.08333333333333
364,188,79,143,97,35,147,256,159,147,49,207,155.91666666666666
385,32,49,34,491,54,111,143,0,58,42,464,155.25
430,80,85,101,740,67,17,166,0,0,307,689,223.5
394,6,47,50,543,0,196,255,165,37,203,442,194.83333333333334
184,118,0,72,809,1,147,204,114,107,98,492,195.5
178,26,116,50,494,49,111,117,13,0,117,398,139.08333333333334
508,58,84,17,326,49,145,117,24,104,249,622,191.91666666666666
156,147,66,206,497,0,273,71,223,49,161,516,197.08333333333334
170,149,117,238,775,23,118,162,88,50,124,570,215.33333333333334
670,236,151,80,699,165,100,232,49,49,96,680,267.25
338,163,149,37,756,88,208,272,71,30,127,530,230.75
222,341,266,153,786,76,105,439,49,21,122,449,252.41666666666666
252,132,120,115,484,217,167,367,245,69,186,462,234.66666666666666
288,317,145,157,805,106,141,187,191,49,258,582,268.8333333333333
112,88,92,70,736,130,327,226,95,147,337,515,239.58333333333334
138,359,117,259,746,168,307,151,147,85,431,588,291.3333333333333
80,340,137,59,869,73,373,283,409,94,333,500,295.8333333333333
196,286,93,120,914,0,290,111,196,131,192,808,278.0833333333333
82,258,0,150,633,15,184,301,317,98,343,698,256.5833333333333
146,330,95,124,629,99,211,217,323,0,415,711,275
139,167,25,95,387,49,110,155,147,49,209,439,164.25
261,273,0,23,594,0,29,198,147,36,354,440,196.25
100,301,101,248,693,4,155,324,735,117,120,616,292.8333333333333
0,289,141,49,621,74,0,295,405,50,404,458,232.16666666666666
212,486,128,112,769,207,333,180,547,111,513,414,334.3333333333333
133,600,110,66,817,151,180,174,348,115,414,635,311.9166666666667
165,245,66,98,868,56,274,344,712,139,309,944,351.6666666666667
104,546,380,0,825,169,74,188,432,14,332,398,288.5
188,269,413,22,792,212,314,176,780,49,337,623,347.9166666666667
57,439,180,8,577,318,137,304,245,49,228,424,247.16666666666666
61,607,472,0,836,352,266,263,317,260,422,547,366.9166666666667
26,155,158,98,893,321,288,403,543,116,325,404,310.8333333333333
141,637,188,49,665,289,479,341,487,166,340,490,356
265,175,226,0,625,353,206,305,580,363,180,387,305.4166666666667
283,308,221,49,876,302,146,305,543,104,776,280,349.4166666666667
191,462,137,163,665,188,327,135,484,233,399,358,311.8333333333333
156,540,178,226,1042,342,227,139,456,201,707,313,377.25
234,344,282,161,585,324,319,378,529,282,729,323,374.1666666666667
215,620,233,298,625,220,71,253,386,310,277,214,310.1666666666667
216,235,177,63,519,210,222,264,294,97,304,365,247.16666666666666
141,293,204,91,839,372,378,575,637,303,555,424,401
70,707,149,154,797,135,66,539,274,345,711,393,361.6666666666667
206,459,193,132,518,157,152,183,356,272,290,618,294.6666666666667
130,414,268,117,575,83,125,440,439,344,468,358,313.4166666666667
186,220,142,61,622,152,181,268,479,310,454,696,314.25
248,456,296,147,656,277,284,454,227,431,536,410,368.5
153,400,331,262,398,210,195,343,402,441,260,514,325.75
246,569,376,0,618,178,148,258,429,203,354,585,330.3333333333333
165,468,471,49,296,206,236,409,411,340,166,648,322.0833333333333
338,501,224,163,975,390,316,336,651,353,410,661,443.1666666666667
124,585,299,50,754,387,218,317,482,262,239,752,372.4166666666667
238,507,198,0,601,427,311,288,360,418,323,572,353.5833333333333
355,421,409,77,832,300,187,455,390,171,523,513,386.0833333333333
282,464,501,98,1037,327,404,333,317,515,355,378,417.5833333333333
227,407,223,0,433,516,230,506,275,168,531,758,356.1666666666667
66,556,438,49,625,316,225,292,375,411,565,817,394.5833333333333
236,248,257,4,675,282,136,609,346,328,419,611,345.9166666666667
175,512,389,105,763,338,279,352,473,375,595,538,407.8333333333333
198,466,243,325,391,180,229,643,315,299,442,663,366.1666666666667
193,414,116,62,725,389,297,692,256,257,484,892,398.0833333333333
109,455,268,147,472,230,54,450,358,313,683,794,361.0833333333333
15,284,219,117,459,496,222,546,363,508,587,626,370.1666666666667
220,532,293,98,527,347,465,403,374,621,806,546,436
147,430,263,147,916,374,119,132,340,470,660,611,384.0833333333333
139,62,151,153,676,443,192,252,592,527,785,772,395.3333333333333
240,285,278,152,405,273,334,199,380,374,598,472,332.5
253,403,325,28,786,281,82,397,307,498,498,687,378.75
70,363,359,245,433,269,346,334,387,188,614,391,333.25
410,302,342,392,759,375,238,265,338,518,557,661,429.75
230,142,317,221,461,329,236,124,202,376,624,433,307.9166666666667
232,364,298,153,545,527,376,205,254,163,584,676,364.75
78,728,424,245,1068,580,240,312,237,365,585,480,445.1666666666667
193,415,280,217,707,435,281,321,177,343,502,372,353.5833333333333
219,573,202,156,471,416,354,295,446,196,589,391,359
354,369,441,98,608,437,321,213,359,348,471,496,376.25
181,365,360,196,585,548,181,646,367,367,742,619,429.75
154,371,205,146,645,433,334,391,187,323,502,495,348.8333333333333
134,352,343,294,866,367,122,376,188,544,474,584,387
152,525,359,169,406,488,362,565,111,549,448,380,376.1666666666667
235,489,399,98,591,273,337,452,266,298,785,441,388.6666666666667
445,423,596,200,469,371,327,419,470,470,493,540,435.25
454,476,279,81,677,386,372,373,76,330,546,534,382
441,414,215,245,1017,214,265,555,274,491,564,256,412.5833333333333
262,442,305,98,537,483,224,440,190,282,514,306,340.25
317,496,322,373,586,665,114,315,329,571,740,153,415.0833333333333
203,378,509,98,1091,437,249,311,438,470,482,297,413.5833333333333
294,456,438,294,1001,398,360,399,289,537,691,282,453.25
215,211,392,294,641,518,366,306,248,672,792,165,401.6666666666667
400,645,497,147,1047,558,322,428,244,336,694,294,467.6666666666667
211,528,363,98,781,445,310,647,246,551,624,561,447.0833333333333
331,191,782,147,743,515,333,542,315,295,587,570,445.9166666666667
163,459,411,534,1182,476,497,1076,452,422,542,709,576.9166666666666
86,664,652,164,811,500,235,921,295,497,540,703,505.6666666666667
303,556,349,60,722,173,193,1192,524,320,489,340,435.0833333333333
153,619,668,147,696,301,154,895,354,758,392,381,459.8333333333333
